transaction_id,is_fraud
TXN100000,0.0
TXN100001,0.0
TXN100002,0.0
TXN100003,0.0
TXN100004,0.0
TXN100005,0.0
TXN100006,0.0
TXN100007,0.0
TXN100008,0.0
TXN100009,0.0
TXN100010,0.0
TXN100011,0.0
TXN100012,0.0
TXN100013,0.0
TXN100014,0.0
TXN100015,0.0
TXN100016,0.0
TXN100017,1.0
TXN100018,0.0
TXN100019,0.0
TXN100020,0.0
TXN100021,0.0
TXN100022,0.0
TXN100023,0.0
TXN100024,0.0
TXN100025,0.0
TXN100026,0.0
TXN100027,0.0
TXN100028,0.0
TXN100029,0.0
TXN100030,0.0
TXN100031,0.0
TXN100032,0.0
TXN100033,0.0
TXN100034,0.0
TXN100035,0.0
TXN100036,0.0
TXN100037,0.0
TXN100038,0.0
TXN100039,0.0
TXN100040,0.0
TXN100041,0.0
TXN100042,0.0
TXN100043,0.0
TXN100044,0.0
TXN100045,0.0
TXN100046,0.0
TXN100047,0.0
TXN100048,0.0
TXN100049,0.0
TXN100050,0.0
TXN100051,0.0
TXN100052,0.0
TXN100053,0.0
TXN100054,0.0
TXN100055,0.0
TXN100056,0.0
TXN100057,0.0
TXN100058,0.0
TXN100059,0.0
TXN100060,0.0
TXN100061,0.0
TXN100062,0.0
TXN100063,0.0
TXN100064,
TXN100065,0.0
TXN100066,0.0
TXN100067,0.0
TXN100068,1.0
TXN100069,0.0
TXN100070,0.0
TXN100071,0.0
TXN100072,0.0
TXN100073,0.0
TXN100074,0.0
TXN100075,0.0
TXN100076,0.0
TXN100077,0.0
TXN100078,1.0
TXN100079,0.0
TXN100080,0.0
TXN100081,0.0
TXN100082,0.0
TXN100083,0.0
TXN100084,0.0
TXN100085,0.0
TXN100086,0.0
TXN100087,0.0
TXN100088,0.0
TXN100089,0.0
TXN100090,0.0
TXN100091,0.0
TXN100092,0.0
TXN100093,0.0
TXN100094,0.0
TXN100095,0.0
TXN100096,0.0
TXN100097,0.0
TXN100098,0.0
TXN100099,1.0
TXN100100,0.0
TXN100101,0.0
TXN100102,0.0
TXN100103,0.0
TXN100104,0.0
TXN100105,1.0
TXN100106,0.0
TXN100107,0.0
TXN100108,0.0
TXN100109,0.0
TXN100110,1.0
TXN100111,0.0
TXN100112,0.0
TXN100113,0.0
TXN100114,0.0
TXN100115,1.0
TXN100116,0.0
TXN100117,0.0
TXN100118,0.0
TXN100119,0.0
TXN100120,0.0
TXN100121,0.0
TXN100122,0.0
TXN100123,0.0
TXN100124,0.0
TXN100125,0.0
